OACI;CIAD;Nome;Município;UF;Tipo;LATGEOPOINT;LONGEOPOINT;Latitude;Longitude;Altitude;Operação Diurna;Operação Noturna;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência do Pavimento;Superfície;Validade do Registro;Portaria de Registro;Link Portaria;Luzes de Aproximação;Luzes de Área de Toque e Elevação Inicial (TLOF);Indicador Visual de Rampa de Aproximação;Luzes Indicadoras de Área de Aproximação Final de Decolagem (FATO);Luzes de Obstáculo;Luzes de Ponto de Vizada de Heliponto
SSHJ;SP0750;JC;OSASCO;São Paulo;Elevado;-23,533889;-46,782222;23°32'02.0"S;046°46'56.0"W;776,0;VFR;VFR;14;Quadrado;19,56 m;4,00;Concreto;23/03/2027;PA2017-0839;https://pergamum.anac.gov.br/arquivos/PA2017-0839.pdf;;;;;;
SILV;SP0524;VOCP;SÃO PAULO;São Paulo;Elevado;-23,594444;-46,688889;23°35'40.0"S;046°41'20.0"W;811,0;VFR;VFR;8;Quadrado;21 m;4,50;Concreto;14/03/2028;PA2018-0647;https://pergamum.anac.gov.br/arquivos/PA2018-0647.pdf;;;;;;
SWVM;MG0288;Vinte e Oito;BELO HORIZONTE;Minas Gerais;Elevado;-19,962778;-43,958333;19°57'46.0"S;043°57'30.0"W;1018,0;VFR;VFR;14;Quadrado;19,5 m;4,00;Concreto;29/05/2023;PA2013-1397;https://pergamum.anac.gov.br/arquivos/PA2013-1397.pdf;;;;;;
SNBO;CE0134;Botelho Belchior;ARATUBA;Ceará;No solo;-4,3786111;-39,034167;04°22'43.0"S;039°02'03.0"W;768,0;VFR;VFR;16;Quadrado;19,5 m;4,00;Concreto;13/02/2030;PA2019-69;https://pergamum.anac.gov.br/arquivos/PA2019-69.pdf;;;;;;
SNRY;MG0259;Bissoli;BELO HORIZONTE;Minas Gerais;No solo;-19,972778;-43,935;19°58'22.0"S;043°56'06.0"W;1162,0;VFR;Sem Operação;19;Quadrado;20 m;4,00;Grama;19/12/2023;PA2016-2100;https://pergamum.anac.gov.br/arquivos/PA2016-2100.pdf;;;;;;
SNEM;BA0213;Enseada;SALVADOR;Bahia;No solo;-12,795556;-38,643611;12°47'44.0"S;038°38'37.0"W;13,0;VFR;VFR;11;Quadrado;21 m;4,00;Concreto;16/08/2026;PA2016-2101;https://pergamum.anac.gov.br/arquivos/PA2016-2101.pdf;;;;;;
SSOM;GO0194;Fazenda Balada II;BELA VISTA DE GOIÁS;Goiás;No solo;-16,818056;-49,050278;16°49'05.0"S;049°03'01.0"W;710,0;VFR;VFR;14;Quadrado;21 m;4,00;Concreto;29/05/2029;PA2019-1494;https://pergamum.anac.gov.br/arquivos/PA2019-1494.pdf;;;;;;
SDAH;SP0287;Signo Resgate Alphaville;BARUERI;São Paulo;Elevado;-23,493611;-46,848333;23°29'37.0"S;046°50'54.0"W;788,0;VFR;VFR;17;Quadrado;20,6 m;4,00;Concreto;23/07/2024;PA2016-2099;https://pergamum.anac.gov.br/arquivos/PA2016-2099.pdf;;;;;;
SWGX;MG0310;Fortunas;FORTUNA DE MINAS;Minas Gerais;No solo;-19,614722;-44,413611;19°36'53.0"S;044°24'49.0"W;750,0;VFR;VFR;16;Quadrado;21 m;4,00;Grama;28/05/2029;PA2019-1505;https://pergamum.anac.gov.br/arquivos/PA2019-1505.pdf;;;;;;
SDEX;SP0322;Parque Maeda;ITU;São Paulo;No solo;-23,339167;-47,3475;23°20'21.0"S;047°20'51.0"W;653,0;VFR;;10;Quadrado;21 m;4,50;Grama;19/07/2027;PA2017-2065;https://pergamum.anac.gov.br/arquivos/PA2017-2065.pdf;;;;;;
SJHT;SP0623;JT Fazenda Santana;VALINHOS;São Paulo;No solo;-23,039167;-47,047778;23°02'21.0"S;047°02'52.0"W;640,0;VFR;VFR;6;Quadrado;19,67 m;4,00;Concreto;11/09/2028;PA2018-2750;https://pergamum.anac.gov.br/arquivos/PA2018-2750.pdf;;;;;;
SDZP;SC0112;Ninho do Pássaro III;INDAIAL;Santa Catarina;No solo;-26,885278;-49,243056;26°53'07.0"S;049°14'35.0"W;;VFR;VFR;22;Quadrado;;5,00;Concreto;29/07/2030;PA2020-1781;https://pergamum.anac.gov.br/arquivos/PA2020-1781.pdf;;;;;;
SNXF;GO0167;Igarashi 2;CRISTALINA;Goiás;No solo;-16,080278;-47,518611;16°04'49.0"S;047°31'07.0"W;1024,0;VFR;VFR;33;Quadrado;18 m;3,00;Concreto;21/09/2027;PA2017-3033;https://pergamum.anac.gov.br/arquivos/PA2017-3033.pdf;;;;;;
SWET;RJ0178;KKS-37;NOVA IGUAÇU;Rio de Janeiro;No solo;-22,738611;-43,493611;22°44'19.7"S;043°29'37.0"W;44,0;VFR;;28;Quadrado;21 m;4,00;Asfalto;27/02/2029;PA2019-0522;https://pergamum.anac.gov.br/arquivos/PA2019-0522.pdf;;;;;;
SNEP;SC0121;Infinity;ARARANGUÁ;Santa Catarina;No solo;-28,935278;-49,481944;28°56'07.3"S;049°28'55.9"W;74,0;VFR;VFR;14;Quadrado;18 m;2,00;Concreto;26/07/2029;PA2019-2182;https://pergamum.anac.gov.br/arquivos/PA2019-2182.pdf;;;;;;
SWRR;BA0235;RR76 Clube Espanhol;SALVADOR;Bahia;Elevado;-13,009444;-38,520278;13°00'34.0"S;038°31'13.0"W;30,0;VFR;VFR;7;Quadrado;21 m;3,00;Concreto;;;;;;;;;
SWFB;SP1282;Fazendas Bergamini;RIVERSUL;São Paulo;No solo;-23,787222;-49,424167;23°47'14.0"S;049°25'27.0"W;604,0;VFR;;2;Quadrado;;5,00;Grama;;;;;;;;;
SSYC;SP0878;Santa Gertrudes;ITAPETININGA;São Paulo;No solo;-23,653889;-48,163333;23°39'14.6"S;048°09'48.7"W;695,0;VFR;Sem Operação;7 27;Quadrado;;3,00;Concreto;;;;;;;;;
SIXP;SP0572;Pretel 88;ITAÍ;São Paulo;No solo;-23,690556;-49,103333;23°41'26.0"S;049°06'12.0"W;716,0;VFR;VFR;9 27;Quadrado;18 m;3,00;Concreto;20/07/2028;PA2018-2184;https://pergamum.anac.gov.br/arquivos/PA2018-2184.pdf;;;;;;
SWXY;SP0855;Fazenda Igurê;GÁLIA;São Paulo;No solo;-22,251667;-49,605278;22°15'06.0"S;049°36'19.6"W;747,0;VFR;;6;Quadrado;19,5 m;2,00;Concreto;28/02/2029;PA2019-0526;https://pergamum.anac.gov.br/arquivos/PA2019-0526.pdf;;;;;;
SBQL;SP1281;Centro de Convenções Ponta da Praia;SANTOS;São Paulo;Elevado;-23,984722;-46,294444;23°59'05.0"S;046°17'40.0"W;26,0;VFR;VFR;22;Quadrado;;4,00;Concreto;14/09/2030;PA2020-2198;https://pergamum.anac.gov.br/arquivos/PA2020-2198.pdf;;;;;;
SJGG;MG0446;Haras MTostes;ITABIRITO;Minas Gerais;No solo;-20,225833;-43,709444;20°13'33.5"S;043°42'34.8"W;905,0;VFR;VFR;11;Quadrado;21 m;4,50;Grama;20/12/2029;PA2019-3870;https://pergamum.anac.gov.br/arquivos/PA2019-3870.pdf;;;;;;
SWHC;RS0126;Caracol;CANELA;Rio Grande do Sul;No solo;-29,317222;-50,851667;29°19'02.2"S;050°51'06.8"W;677,0;VFR;;34;Quadrado;18 m;3,00;Concreto;07/08/2029;PA2019-2291;https://pergamum.anac.gov.br/arquivos/PA2019-2291.pdf;;;;;;
SJXF;MG0246;Fazenda Coqueiros;FLORESTAL;Minas Gerais;No solo;-19,843611;-44,417222;19°50'37.0"S;044°25'02.0"W;765,0;VFR;VFR;29;Quadrado;20 m;4,00;Grama;04/07/2028;PA2018-1957;https://pergamum.anac.gov.br/arquivos/PA2018-1957.pdf;;;;;;
SJUK;RJ0176;JEQUITIBÁ;RIO DE JANEIRO;Rio de Janeiro;No solo;-22,968333;-43,293056;22°58'06.0"S;043°17'35.0"W;467,0;VFR;;3;Quadrado;20 m;6,00;Aço;31/01/2029;PA2019-190;https://pergamum.anac.gov.br/arquivos/PA2019-190.pdf;;;;;;
SWKY;BA0231;Maravilha;CAMAÇARI;Bahia;No solo;-12,811667;-38,249444;12°48'42.0"S;038°14'58.0"W;11,0;VFR;VFR;11;Quadrado;21 m;7,00;Concreto;22/11/2028;PA2018-3461;https://pergamum.anac.gov.br/arquivos/PA2018-3461.pdf;;;;;;
SNWA;SC0084;Albor;ARAQUARI;Santa Catarina;No solo;-26,558889;-48,699722;26°33'32.0"S;048°41'59.0"W;6,0;VFR;VFR;25;Quadrado;20 m;4,00;Grama;02/07/2028;PA2018-1709;https://pergamum.anac.gov.br/arquivos/PA2018-1709.pdf;;;;;;
SNUY;SP1263;Villa Santa Maria;SÃO BENTO DO SAPUCAÍ;São Paulo;No solo;-22,722778;-45,681667;22°43'22.0"S;045°40'54.0"W;962,0;VFR;VFR;11;Quadrado;;6,00;Concreto;19/11/2030;PA2020-2981;https://pergamum.anac.gov.br/arquivos/PA2020-2981.pdf;;;;;;
SDBU;MG0445;Décio Ituiutaba;ITUIUTABA;Minas Gerais;No solo;-18,964444;-49,502222;18°57'52.0"S;049°30'08.0"W;591,0;VFR;VFR;2;Quadrado;;3,00;Concreto;14/09/2030;PA2020-2066;https://pergamum.anac.gov.br/arquivos/PA2020-2066.pdf;;;;;;
SWPJ;SP0850;Fazenda Santo Antônio;MOGI MIRIM;São Paulo;No solo;-22,464444;-46,9125;22°27'52.4"S;046°54'45.6"W;672,0;VFR;VFR;4;Quadrado;25 m;6,00;Concreto;28/01/2029;PA2019-0105;https://pergamum.anac.gov.br/arquivos/PA2019-0105.pdf;;;;;;
SIIF;CE0076;Carmel Hoteis;SÃO GONÇALO DO AMARANTE;Ceará;Elevado;-3,5061111;-38,903889;03°30'22.0"S;038°54'14.0"W;16,0;VFR;VFR;11;Quadrado;20 m;4,00;Concreto;21/11/2029;PA2019-3544;https://pergamum.anac.gov.br/arquivos/PA2019-3544.pdf;;;;;;
SDBO;MG0212;Morada Nova;INHAÚMA;Minas Gerais;No solo;-19,466389;-44,373056;19°27'59.0"S;044°22'23.0"W;738,0;VFR;VFR;23;Quadrado;21 m;5,00;Concreto;31/10/2022;PA2012-2302;https://pergamum.anac.gov.br/arquivos/PA2012-2302.pdf;;;;;;
SWOE;PR0200;Estância do Sol;ARAPONGAS;Paraná;No solo;-23,508333;-51,431111;23°30'30.0"S;051°25'52.0"W;824,0;VFR;VFR;9;Quadrado;;6,00;Concreto;;;;;;;;;
SSXI;SC0123;Komprão Itapema;ITAPEMA;Santa Catarina;No solo;-27,129444;-48,613056;27°07'46.0"S;048°36'47.0"W;5,0;VFR;VFR;7;Quadrado;;4,00;Concreto;;;;;;;;;
;PR0204;Tedesco;SÃO JORGE D'OESTE;Paraná;No solo;-25,566389;-52,997222;25°33'59.5"S;052°59'50.2"W;;VFR;VFR;26;Quadrado;;5,00;Concreto;;;;;;;;;
SWHH;SP0808;Banco Santander;SÃO PAULO;São Paulo;No solo;-23,590833;-46,690833;23°35'27.0"S;046°41'27.0"W;858,0;VFR;VFR;5 20;Quadrado;21 m;4,00;Concreto;;;;;;;;;
SSEL;PR0152;ANAMI;SÃO JOSÉ DOS PINHAIS;Paraná;No solo;-25,592778;-49,184444;25°35'34.0"S;049°11'04.0"W;911,0;VFR;VFR;2;Quadrado;18 m;5,00;Grama;10/10/2029;PA2019-3027;https://pergamum.anac.gov.br/arquivos/PA2019-3027.pdf;;;;;;
SNLH;RJ0130;Ilha do Almeida;ANGRA DOS REIS;Rio de Janeiro;No solo;-23,038056;-44,341944;23°02'17.0"S;044°20'31.0"W;18,0;VFR;VFR;33;Quadrado;21 m;6,00;Concreto;26/01/2027;PA2017-0203;https://pergamum.anac.gov.br/arquivos/PA2017-0203.pdf;;;;;;
SWSR;MA0079;Guará;GODOFREDO VIANA;Maranhão;No solo;-1,2991667;-45,751389;01°17'57.0"S;045°45'05.0"W;42,0;VFR;;12;Quadrado;18 m;6,00;Concreto;12/06/2029;PA2019-1729;https://pergamum.anac.gov.br/arquivos/PA2019-1729.pdf;;;;;;
SWUG;MG0295;Hospital MATER DEI Betim/Contagem;BETIM;Minas Gerais;Elevado;-19,941111;-44,147778;19°56'28.0"S;044°08'52.0"W;908,0;VFR;VFR;31;Quadrado;24 m;6,00;Concreto;26/03/2029;PA2019-0766;https://pergamum.anac.gov.br/arquivos/PA2019-0766.pdf;;;;;;
SSJT;SP0755;JTMaresias;SÃO SEBASTIÃO;São Paulo;No solo;-23,786667;-45,586944;23°47'12.0"S;045°35'13.0"W;51,0;VFR;;22;Quadrado;19,67 m;4,00;Concreto;09/10/2027;PA2017-3220;https://pergamum.anac.gov.br/arquivos/PA2017-3220.pdf;;;;;;
SWCW;MG0301;Ycambi Ranch;CARATINGA;Minas Gerais;No solo;-19,718056;-42,131944;19°43'05.0"S;042°07'55.0"W;645,0;VFR;;11;Quadrado;19,6 m;3,00;Concreto;23/04/2029;PA2019-1200;https://pergamum.anac.gov.br/arquivos/PA2019-1200.pdf;;;;;;
SNTW;ES0026;PeterFrut;VENDA NOVA DO IMIGRANTE;Espírito Santo;No solo;-20,399722;-41,082778;20°23'59.0"S;041°04'58.0"W;1031,0;VFR;;3;Quadrado;20 m;4,00;Concreto;15/05/2029;PA2019-1413;https://pergamum.anac.gov.br/arquivos/PA2019-1413.pdf;;;;;;
SIFH;CE0135;Hospital Regional do Vale do Jaguaribe;LIMOEIRO DO NORTE;Ceará;No solo;-5,1186111;-38,148333;05°07'07.0"S;038°08'54.0"W;34,0;VFR;VFR;12;Quadrado;;5,00;Concreto;01/09/2030;PA2020-1978;https://pergamum.anac.gov.br/arquivos/PA2020-1978.pdf;;;;;;
SDZY;PE0061;Costa de Guadalupe;SIRINHAÉM;Pernambuco;No solo;-8,6880556;-35,088889;08°41'17.0"S;035°05'20.0"W;5,0;VFR;VFR;12;Quadrado;20 m;4,00;Concreto;29/05/2029;PA2019-1533;https://pergamum.anac.gov.br/arquivos/PA2019-1533.pdf;;;;;;
SIBF;MG0306;Haras Neves;PEDRO LEOPOLDO;Minas Gerais;No solo;-19,649444;-44,148889;19°38'58.0"S;044°08'56.0"W;850,0;VFR;VFR;5;Quadrado;20 m;4,00;Grama;29/05/2029;PA2019-1534;https://pergamum.anac.gov.br/arquivos/PA2019-1534.pdf;;;;;;
SJUN;SP0861;São Fernando Golf Club;COTIA;São Paulo;No solo;-23,572222;-46,878056;23°34'20.0"S;046°52'41.5"W;747,0;VFR;;7;Quadrado;18 m;2,00;Grama;05/06/2029;PA2019-1568;https://pergamum.anac.gov.br/arquivos/PA2019-1568.pdf;;;;;;
SSWW;BA0224;VR Aviation;SALVADOR;Bahia;No solo;-12,981667;-38,468889;12°58'54.0"S;038°28'08.0"W;40,0;VFR;VFR;20;Quadrado;21 m;7,00;Concreto;17/01/2028;PA2018-0020;https://pergamum.anac.gov.br/arquivos/PA2018-0020.pdf;;;;;;
SDQS;SP0859;Alpendre Eventos;TAUBATÉ;São Paulo;No solo;-23,137222;-45,474722;23°08'14.6"S;045°28'29.6"W;619,0;VFR;VFR;13;Quadrado;18 m;2,00;Grama;05/06/2029;PA2019-1571;https://pergamum.anac.gov.br/arquivos/PA2019-1571.pdf;;;;;;
SDXC;PR0106;Condor;CURITIBA;Paraná;No solo;-25,515556;-49,296944;25°30'56.0"S;049°17'49.0"W;935,0;VFR;VFR;2 18;Quadrado;19,6 m;3,00;Concreto;04/06/2028;PA2018-1611;https://pergamum.anac.gov.br/arquivos/PA2018-1611.pdf;;;;;;
SJEU;SC0173;Unifique;TIMBÓ;Santa Catarina;Elevado;-26,819444;-49,2725;26°49'10.0"S;049°16'21.0"W;74,0;VFR;VFR;4;Quadrado;;4,00;Metálico;;;;;;;;;
SDSY;SP0851;Riviera Portofino;PIRACAIA;São Paulo;No solo;-22,998333;-46,368056;22°59'54.4"S;046°22'05.7"W;883,0;VFR;;5;Quadrado;13,04 m;4,00;Grama;31/01/2029;PA2019-150;https://pergamum.anac.gov.br/arquivos/PA2019-150.pdf;;;;;;
SSLF;SP1275;Melo Pinheiro;PORTO FELIZ;São Paulo;No solo;-23,238611;-47,455278;23°14'19.4"S;047°27'19.9"W;564,0;VFR;VFR;16;Quadrado;;4,00;Concreto;;PA2020-3900;https://pergamum.anac.gov.br/arquivos/PA2020-3900.pdf;;;;;;
SJTA;SC0071;Academia Nacional da Polícia Rodoviária Federal;FLORIANÓPOLIS;Santa Catarina;No solo;-27,455833;-48,461389;27°27'21.0"S;048°27'41.0"W;9,0;VFR;VFR;10 28;Quadrado;25,8 m;6,00;Concreto;25/05/2026;PA2016-1289;https://pergamum.anac.gov.br/arquivos/PA2016-1289.pdf;;;;;;
SDGV;MG0215;Conde;NOVA LIMA;Minas Gerais;Elevado;-19,994722;-43,951944;19°59'41.0"S;043°57'07.9"W;1213,0;VFR;VFR;25;Quadrado;19,5 m;4,00;Concreto;20/07/2022;PA2012-1455;https://pergamum.anac.gov.br/arquivos/PA2012-1455.pdf;;;;;;
SDJP;SP0365;Igreja Mundial do Poder de Deus - IMPD;SÃO PAULO;São Paulo;Elevado;-23,550833;-46,620556;23°33'03.0"S;046°37'14.7"W;754,0;VFR;VFR;36;Quadrado;22,5 m;12,00;Concreto;19/11/2028;PA2018-3335;https://pergamum.anac.gov.br/arquivos/PA2018-3335.pdf;;;;;;
SIRG;SC0176;Ninho do Pássaro;NAVEGANTES;Santa Catarina;No solo;-26,873056;-48,666667;26°52'23.0"S;048°40'00.0"W;10,0;VFR;VFR;13;Quadrado;;6,00;Concreto;09/09/2030;PA2020-0767;https://pergamum.anac.gov.br/arquivos/PA2020-0767.pdf;;;;;;
SWJK;RJ0175;Hermitage;NITERÓI;Rio de Janeiro;No solo;-22,915556;-42,991667;22°54'56.7"S;042°59'30.2"W;74,0;VFR;VFR;31;Quadrado;24 m;5,00;Concreto;30/11/2028;PA2018-3512;https://pergamum.anac.gov.br/arquivos/PA2018-3512.pdf;;;;;;
SJPY;MA0080;Ilson Mateus Rodrigues Júnior;SÃO JOSÉ DE RIBAMAR;Maranhão;No solo;-2,4686111;-44,200833;02°28'07.0"S;044°12'03.0"W;62,0;VFR;VFR;20;Quadrado;21 m;3,00;Concreto;03/07/2029;PA2019-1887;https://pergamum.anac.gov.br/arquivos/PA2019-1887.pdf;;;;;;
;SC0107;Soldado PM Pedro José Rodrigues;BALNEÁRIO CAMBORIÚ;Santa Catarina;No solo;-26,978611;-48,65;26°58'43.0"S;048°39'00.0"W;27,0;VFR;VFR;29;Quadrado;;16,00;Concreto;25/03/2031;PA2021-4502;https://pergamum.anac.gov.br/arquivos/PA2021-4502.pdf;;;;;;
;PI0066;Carnaubinha Praia Resort;LUÍS CORREIA;Piauí;No solo;-2,9088889;-41,496667;02°54'32.0"S;041°29'48.0"W;8,0;VFR;VFR;8;Quadrado;;4,00;Concreto;06/05/2031;PA2021-4880;https://pergamum.anac.gov.br/arquivos/PA2021-4880.pdf;;;;;;
SJQA;PR0154;Teimoso;CAMPO LARGO;Paraná;No solo;-25,426667;-49,524722;25°25'36.0"S;049°31'29.0"W;955,0;VFR;VFR;21;Quadrado;;5,00;Concreto;16/09/2030;PA2020-2092;https://pergamum.anac.gov.br/arquivos/PA2020-2092.pdf;;;;;;
;SC0178;Cata;BALNEÁRIO CAMBORIÚ;Santa Catarina;No solo;-27,008333;-48,611111;27°00'30.0"S;048°36'40.0"W;3,0;VFR;Sem Operação;5;Quadrado;;4,00;Concreto;28/01/2031;PA2021-3940;https://pergamum.anac.gov.br/arquivos/PA2021-3940.pdf;;;;;;
SWEL;SP0849;Limão;SÃO PAULO;São Paulo;Elevado;-23,505556;-46,680556;23°30'20.1"S;046°40'50.3"W;741,0;VFR;VFR;3;Quadrado;21 m;4,50;Concreto;12/12/2028;PA2018-3743;https://pergamum.anac.gov.br/arquivos/PA2018-3743.pdf;;;;;;
SJEM;MA0060;Marcus Barbosa Empresarial Calhau;SÃO LUÍS;Maranhão;No solo;-2,4930556;-44,274722;02°29'35.0"S;044°16'29.0"W;102,0;VFR;VFR;2;Quadrado;18 m;3,00;Concreto;23/08/2026;PA2016-2150;https://pergamum.anac.gov.br/arquivos/PA2016-2150.pdf;;;;;;
SIGD;ES0015;Guidoni;SÃO DOMINGOS DO NORTE;Espírito Santo;No solo;-19,190278;-40,630278;19°11'25.0"S;040°37'49.0"W;164,0;VFR;;3;Quadrado;20 m;4,00;Concreto;23/08/2026;PA2016-2151;https://pergamum.anac.gov.br/arquivos/PA2016-2151.pdf;;;;;;
SWWC;RR0115;Cataratas Poços;BOA VISTA;Roraima;No solo;2,76694444;-60,715278;02°46'01.1"N;060°42'55.0"W;85,0;VFR;VFR;7 25;Quadrado;18 m;2,00;Concreto;23/08/2026;PA2016-2147;https://pergamum.anac.gov.br/arquivos/PA2016-2147.pdf;;;;;;
SWDV;MG0282;Fazenda Vereda;ESMERALDAS;Minas Gerais;No solo;-19,686667;-44,433889;19°41'12.6"S;044°26'02.2"W;741,0;VFR;VFR;26;Quadrado;21 m;4,00;Grama;01/11/2026;PA2016-2807;https://pergamum.anac.gov.br/arquivos/PA2016-2807.pdf;;;;;;
SIDI;MG0224;Fazenda Cachoeira;CAETÉ;Minas Gerais;No solo;-19,829444;-43,630278;19°49'46.0"S;043°37'49.0"W;1075,0;VFR;VFR;10 25;Quadrado;21 m;4,30;Grama;08/02/2027;PA2017-0245;https://pergamum.anac.gov.br/arquivos/PA2017-0245.pdf;;;;;;
SSOR;BA0246;Ages Jacobina;JACOBINA;Bahia;No solo;-11,156667;-40,574444;11°09'24.1"S;040°34'28.9"W;566,0;VFR;VFR;13;Quadrado;21 m;4,00;Concreto;01/04/2029;PA2019-0924;https://pergamum.anac.gov.br/arquivos/PA2019-0924.pdf;;;;;;
SJWN;RS0110;Unimed - Nordeste;CAXIAS DO SUL;Rio Grande do Sul;No solo;-29,164722;-51,200833;29°09'53.0"S;051°12'03.0"W;772,0;VFR;VFR;17 35;Quadrado;18 m;2,00;Concreto;20/04/2027;PA2017-1143;https://pergamum.anac.gov.br/arquivos/PA2017-1143.pdf;;;;;;
SDOJ;RJ0338;Ecobalsa / Flyone;RIO DE JANEIRO;Rio de Janeiro;No solo;-23,011111;-43,377778;23°00'40.0"S;043°22'40.0"W;1,0;VFR;VFR;11;Quadrado;24 m;5,00;Grama;12/02/2030;PA2019-134;https://pergamum.anac.gov.br/arquivos/PA2019-134.pdf;;;;;;
SNGU;MG0313;Grupo Petrópolis Uberaba;UBERABA;Minas Gerais;No solo;-19,837778;-47,885278;19°50'16.4"S;047°53'07.7"W;712,0;VFR;VFR;26;Quadrado;21 m;7,00;Concreto;12/02/2030;PA2019-136;https://pergamum.anac.gov.br/arquivos/PA2019-136.pdf;;;;;;
SNRT;RJ0134;Rio Negro;CANTAGALO;Rio de Janeiro;No solo;-21,910556;-42,266667;21°54'38.3"S;042°16'00.0"W;236,0;VFR;;8;Quadrado;24 m;12,50;Concreto;06/11/2028;PA2018-3290;https://pergamum.anac.gov.br/arquivos/PA2018-3290.pdf;;;;;;
SDXT;SP0446;Encontro das Águas;SÃO MANUEL;São Paulo;No solo;-22,614722;-48,387778;22°36'53.6"S;048°23'16.0"W;483,0;VFR;VFR;30;Quadrado;21 m;4,50;Concreto;06/11/2028;PA2018-3291;https://pergamum.anac.gov.br/arquivos/PA2018-3291.pdf;;;;;;
SIMI;SP0528;Marina Igararecê;SÃO SEBASTIÃO;São Paulo;No solo;-23,768333;-45,403056;23°46'06.0"S;045°24'11.0"W;7,0;VFR;VFR;34;Quadrado;19 m;4,00;Concreto;04/10/2027;PA2017-3357;https://pergamum.anac.gov.br/arquivos/PA2017-3357.pdf;;;;;;
SSLH;SP0757;Helipalm;SUZANO;São Paulo;No solo;-23,651944;-46,315;23°39'07.0"S;046°18'54.0"W;760,0;VFR;VFR;1;Quadrado;21 m;8,00;Concreto;29/03/2027;PA2017-0951;https://pergamum.anac.gov.br/arquivos/PA2017-0951.pdf;;;;;;
SSJE;SC0095;Emphos;SÃO JOSÉ;Santa Catarina;No solo;-27,587222;-48,611389;27°35'14.0"S;048°36'41.0"W;68,0;VFR;VFR;5 23;Quadrado;24 m;4,00;Concreto;31/08/2026;PA2016-2298;https://pergamum.anac.gov.br/arquivos/PA2016-2298.pdf;;;;;;
SSCG;RJ0188;Orla 62;ANGRA DOS REIS;Rio de Janeiro;No solo;-23,038333;-44,195833;23°02'18.7"S;044°11'45.5"W;35,0;VFR;;7;Quadrado;18 m;3,00;Concreto;26/07/2029;PA2019-2143;https://pergamum.anac.gov.br/arquivos/PA2019-2143.pdf;;;;;;
SWPU;SP0823;Portal dos Lagos;BOITUVA;São Paulo;No solo;-23,278611;-47,716111;23°16'43.4"S;047°42'58.8"W;561,0;VFR;VFR;6;Quadrado;13 m;4,00;Concreto;22/11/2028;PA2018-3456;https://pergamum.anac.gov.br/arquivos/PA2018-3456.pdf;;;;;;
SSEO;AL0020;MS Maragogi;MARAGOGI;Alagoas;No solo;-9,0230556;-35,225;09°01'23.0"S;035°13'30.0"W;9,0;VFR;VFR;31;Quadrado;21 m;7,00;Concreto;12/12/2028;PA2018-3720;https://pergamum.anac.gov.br/arquivos/PA2018-3720.pdf;;;;;;
SWCV;SP1276;CMA;BARRETOS;São Paulo;No solo;-20,569444;-48,693056;20°34'10.8"S;048°41'35.6"W;513,0;VFR;VFR;8;Quadrado;;3,00;Concreto;;;;;;;;;
SINU;SC0104;Irmãos Hort;BRUSQUE;Santa Catarina;No solo;-27,117222;-48,946944;27°07'02.3"S;048°56'49.4"W;46,0;VFR;VFR;24;Quadrado;18 m;5,00;Concreto;29/01/2029;PA2019-0082;https://pergamum.anac.gov.br/arquivos/PA2019-0082.pdf;;;;;;
SDRO;CE0030;Darinha;CASCAVEL;Ceará;No solo;-4,1119444;-38,248056;04°06'43.0"S;038°14'53.0"W;33,0;VFR;VFR;13;Quadrado;18 m;4,00;Grama;27/09/2027;PA2017-3137;https://pergamum.anac.gov.br/arquivos/PA2017-3137.pdf;;;;;;
SJID;SE0007;Fazenda Bonfim;LAGARTO;Sergipe;No solo;-11,014444;-37,636111;11°00'52.7"S;037°38'10.0"W;110,0;VFR;;14;Quadrado;24 m;10,00;Concreto;02/05/2029;PA2019-1238;https://pergamum.anac.gov.br/arquivos/PA2019-1238.pdf;;;;;;
SJIO;MA0062;Tech Office;SÃO LUÍS;Maranhão;No solo;-2,4908333;-44,303056;02°29'27.0"S;044°18'11.0"W;76,0;VFR;VFR;17;Quadrado;18 m;3,00;Concreto;31/08/2026;PA2016-2297;https://pergamum.anac.gov.br/arquivos/PA2016-2297.pdf;;;;;;
SNIL;SP0847;HBR Lead Corporate Faria Lima;SÃO PAULO;São Paulo;Elevado;-23,591944;-46,68;23°35'31.2"S;046°40'48.5"W;795,0;VFR;VFR;6 24;Quadrado;20 m;6,00;Metálico;12/12/2028;PA2018-3747;https://pergamum.anac.gov.br/arquivos/PA2018-3747.pdf;;;;;;
SJXH;PE0065;Grupo Petrópolis Itapissuma;ITAPISSUMA;Pernambuco;No solo;-7,7913889;-34,925;07°47'29.0"S;034°55'30.0"W;57,0;VFR;VFR;1;Quadrado;21 m;7,00;Concreto;11/12/2028;PA2018-3792;https://pergamum.anac.gov.br/arquivos/PA2018-3792.pdf;;;;;;
SNAT;RJ0186;Nuclep;ITAGUAÍ;Rio de Janeiro;No solo;-22,883333;-43,826389;22°53'00.0"S;043°49'35.0"W;6,0;VFR;Sem Operação;12;Quadrado;;4,00;Concreto;03/12/2030;PA2020-3358;https://pergamum.anac.gov.br/arquivos/PA2020-3358.pdf;;;;;;
